sessionNumber	sessionsStartTime
1	737322.899756944
2	737330.866967593
3	737350.906261574
4	737355.858321759
5	737757.946527778
6	737760.925
7	737761.914583333
8	737764.956944444
9	737767.966666667
10	737768.961805556
11	737769.965972222
12	737771.956944444
13	737775.930555556
14	737797.954861111
15	737798.976388889
16	737802.94375
