onset	duration	Scoring1
20.0000021606684	30	7
50.0000021606684	30	7
80.0000021606684	30	7
110.000002160668	30	7
140.000002160668	30	7
170.000002160668	30	7
200.000002160668	30	7
230.000002160668	30	7
260.000002160668	30	7
290.000002160668	30	7
320.000002160668	30	7
350.000002160668	30	7
380.000002160668	30	7
410.000002160668	30	7
440.000002160668	30	7
470.000002160668	30	7
500.000002160668	30	7
530.000002160668	30	7
560.000002160668	30	7
590.000002160668	30	7
620.000002160668	30	7
650.000002160668	30	7
680.000002160668	30	7
710.000002160668	30	7
740.000002160668	30	7
770.000002160668	30	7
800.000002160668	30	7
830.000002160668	30	7
860.000002160668	30	7
890.000002160668	30	7
920.000002160668	30	7
950.000002160668	30	7
980.000002160668	30	7
1010.00000216067	30	7
1040.00000216067	30	7
1070.00000216067	30	7
1100.00000216067	30	1
1130.00000216067	30	1
1160.00000216067	30	1
1190.00000216067	30	1
1220.00000216067	30	1
1250.00000216067	30	1
1280.00000216067	30	1
1310.00000216067	30	1
1340.00000216067	30	1
1370.00000216067	30	1
1400.00000216067	30	1
1430.00000216067	30	1
1460.00000216067	30	1
1490.00000216067	30	1
1520.00000216067	30	1
1550.00000216067	30	1
1580.00000216067	30	1
1610.00000216067	30	1
1640.00000216067	30	1
1670.00000216067	30	1
1700.00000216067	30	1
1730.00000216067	30	1
1760.00000216067	30	1
1790.00000216067	30	1
1820.00000216067	30	1
1850.00000216067	30	1
1880.00000216067	30	1
1910.00000216067	30	1
1940.00000216067	30	1
1970.00000216067	30	1
2000.00000216067	30	1
2030.00000216067	30	1
2060.00000216067	30	1
2090.00000216067	30	1
2120.00000216067	30	3
2150.00000216067	30	1
2180.00000216067	30	3
2210.00000216067	30	3
2240.00000216067	30	3
2270.00000216067	30	4
2300.00000216067	30	3
2330.00000216067	30	4
2360.00000216067	30	4
2390.00000216067	30	4
2420.00000216067	30	4
2450.00000216067	30	4
2480.00000216067	30	4
2510.00000216067	30	4
2540.00000216067	30	4
2570.00000216067	30	4
2600.00000216067	30	4
2630.00000216067	30	4
2660.00000216067	30	4
2690.00000216067	30	4
2720.00000216067	30	4
2750.00000216067	30	4
2780.00000216067	30	4
2810.00000216067	30	4
2840.00000216067	30	4
2870.00000216067	30	4
2900.00000216067	30	4
2930.00000216067	30	4
2960.00000216067	30	4
2990.00000216067	30	4
3020.00000216067	30	4
3050.00000216067	30	5
3080.00000216067	30	4
3110.00000216067	30	4
3140.00000216067	30	4
3170.00000216067	30	5
3200.00000216067	30	5
3230.00000216067	30	5
3260.00000216067	30	5
3290.00000216067	30	5
3320.00000216067	30	5
3350.00000216067	30	5
3380.00000216067	30	5
3410.00000216067	30	5
3440.00000216067	30	5
3470.00000216067	30	5
3500.00000216067	30	5
3530.00000216067	30	5
3560.00000216067	30	5
3590.00000216067	30	5
3620.00000216067	30	5
3650.00000216067	30	5
3680.00000216067	30	5
3710.00000216067	30	5
3740.00000216067	30	5
3770.00000216067	30	5
3800.00000216067	30	5
3830.00000216067	30	5
3860.00000216067	30	5
3890.00000216067	30	5
3920.00000216067	30	5
3950.00000216067	30	4
3980.00000216067	30	5
4010.00000216067	30	4
4040.00000216067	30	5
4070.00000216067	30	4
4100.00000216067	30	4
4130.00000216067	30	4
4160.00000216067	30	4
4190.00000216067	30	5
4220.00000216067	30	5
4250.00000216067	30	7
4280.00000216067	30	7
4310.00000216067	30	4
4340.00000216067	30	4
4370.00000216067	30	4
4400.00000216067	30	5
4430.00000216067	30	4
4460.00000216067	30	4
4490.00000216067	30	4
4520.00000216067	30	4
4550.00000216067	30	4
4580.00000216067	30	4
4610.00000216067	30	4
4640.00000216067	30	4
4670.00000216067	30	4
4700.00000216067	30	4
4730.00000216067	30	4
4760.00000216067	30	4
4790.00000216067	30	4
4820.00000216067	30	4
4850.00000216067	30	5
4880.00000216067	30	5
4910.00000216067	30	1
4940.00000216067	30	3
4970.00000216067	30	3
5000.00000216067	30	4
5030.00000216067	30	5
5060.00000216067	30	5
5090.00000216067	30	4
5120.00000216067	30	4
5150.00000216067	30	5
5180.00000216067	30	5
5210.00000216067	30	4
5240.00000216067	30	4
5270.00000216067	30	4
5300.00000216067	30	4
5330.00000216067	30	4
5360.00000216067	30	4
5390.00000216067	30	4
5420.00000216067	30	4
5450.00000216067	30	4
5480.00000216067	30	4
5510.00000216067	30	5
5540.00000216067	30	5
5570.00000216067	30	5
5600.00000216067	30	5
5630.00000216067	30	5
5660.00000216067	30	5
5690.00000216067	30	5
5720.00000216067	30	5
5750.00000216067	30	5
5780.00000216067	30	5
5810.00000216067	30	5
5840.00000216067	30	5
5870.00000216067	30	5
5900.00000216067	30	5
5930.00000216067	30	5
