sessionNumber	sessionsStartTime
1	737510.964826389
2	737538.946840278
3	737540.98380787
4	737558.986527778
5	737910.960416667
6	737911.950694444
7	737914.976388889
8	737915.965972222
9	737916.954166667
10	737920.040277778
11	737921.034722222
12	737922.950694444
13	737925.95
14	737928.934722222
15	737932.003472222
16	737932.981944444
