onset	duration	Scoring2	Has_Arousal
19.9999921023846	30	1	0
49.9999921023846	30	1	0
79.9999921023846	30	1	0
109.999992102385	30	1	0
139.999992102385	30	1	0
169.999992102385	30	1	0
199.999992102385	30	1	0
229.999992102385	30	1	0
259.999992102385	30	1	0
289.999992102385	30	1	0
319.999992102385	30	1	0
349.999992102385	30	1	0
379.999992102385	30	1	0
409.999992102385	30	1	0
439.999992102385	30	1	0
469.999992102385	30	1	0
499.999992102385	30	1	0
529.999992102385	30	1	0
559.999992102385	30	1	0
589.999992102385	30	1	0
619.999992102385	30	1	0
649.999992102385	30	1	0
679.999992102385	30	1	0
709.999992102385	30	1	0
739.999992102385	30	1	0
769.999992102385	30	1	0
799.999992102385	30	1	0
829.999992102385	30	1	0
859.999992102385	30	1	0
889.999992102385	30	1	0
919.999992102385	30	1	0
949.999992102385	30	1	0
979.999992102385	30	1	0
1009.99999210238	30	1	0
1039.99999210238	30	1	0
1069.99999210238	30	1	0
1099.99999210238	30	1	0
1129.99999210238	30	1	0
1159.99999210238	30	1	0
1189.99999210238	30	1	0
1219.99999210238	30	1	0
1249.99999210238	30	1	0
1279.99999210238	30	1	0
1309.99999210238	30	1	0
1339.99999210238	30	1	0
1369.99999210238	30	1	0
1399.99999210238	30	1	0
1429.99999210238	30	1	0
1459.99999210238	30	1	0
1489.99999210238	30	1	0
1519.99999210238	30	1	0
1549.99999210238	30	1	0
1579.99999210238	30	1	0
1609.99999210238	30	1	0
1639.99999210238	30	1	0
1669.99999210238	30	1	0
1699.99999210238	30	1	0
1729.99999210238	30	1	0
1759.99999210238	30	1	0
1789.99999210238	30	1	0
1819.99999210238	30	1	0
1849.99999210238	30	1	0
1879.99999210238	30	1	0
1909.99999210238	30	3	0
1939.99999210238	30	3	0
1969.99999210238	30	3	0
1999.99999210238	30	3	0
2029.99999210238	30	3	0
2059.99999210238	30	3	1
2089.99999210238	30	3	0
2119.99999210238	30	3	0
2149.99999210238	30	3	0
2179.99999210238	30	1	1
2209.99999210238	30	1	0
2239.99999210238	30	3	0
2269.99999210238	30	1	1
2299.99999210238	30	3	0
2329.99999210238	30	3	0
2359.99999210238	30	3	0
