sessionNumber	sessionsStartTime
1	737511.976493056
2	737519.034108796
3	737523.972361111
4	737525.98162037
5	738041.951388889
6	738043.9125
7	738044.961805556
8	738048.953472222
9	738051.929166667
10	738058.939583333
11	738063.95625
12	738071.952083333
13	738077.954166667
14	738086.934722222
15	738091.9375
16	738092.941666667
