onset	duration	Scoring2	Has_Arousal
0	30	1	0
30	30	1	0
60	30	1	0
90	30	1	0
120	30	1	0
150	30	1	0
180	30	1	0
210	30	1	0
240	30	1	0
270	30	1	0
300	30	1	0
330	30	1	0
360	30	1	0
390	30	1	0
420	30	1	0
450	30	1	0
480	30	1	0
510	30	1	0
540	30	1	0
570	30	1	0
600	30	1	0
630	30	1	0
660	30	1	0
690	30	1	0
720	30	1	0
750	30	1	0
780	30	1	0
810	30	1	0
840	30	1	0
870	30	1	0
900	30	1	0
930	30	1	0
960	30	1	0
990	30	1	0
1020	30	1	0
1050	30	1	0
1080	30	1	0
1110	30	1	0
1140	30	1	0
1170	30	1	0
1200	30	1	0
1230	30	1	0
1260	30	1	0
1290	30	1	0
1320	30	1	0
1350	30	1	0
1380	30	1	0
1410	30	1	0
1440	30	1	0
1470	30	1	0
1500	30	1	0
1530	30	1	0
1560	30	1	0
1590	30	1	0
1620	30	1	0
1650	30	1	0
1680	30	1	0
1710	30	1	0
1740	30	1	0
1770	30	1	0
1800	30	1	0
1830	30	1	0
1860	30	1	0
1890	30	1	0
1920	30	1	0
1950	30	1	0
1980	30	1	0
2010	30	1	0
2040	30	1	0
2070	30	1	0
2100	30	1	0
2130	30	1	0
2160	30	1	0
2190	30	1	0
2220	30	1	0
2250	30	1	0
2280	30	1	0
2310	30	1	0
2340	30	3	0
2370	30	3	0
2400	30	3	0
2430	30	3	0
2460	30	3	0
2490	30	3	1
2520	30	3	0
2550	30	3	0
2580	30	3	0
2610	30	3	0
2640	30	3	0
2670	30	3	0
2700	30	3	0
2730	30	4	0
2760	30	4	0
2790	30	4	0
2820	30	4	0
2850	30	4	0
2880	30	1	1
2910	30	3	0
2940	30	3	0
2970	30	3	0
3000	30	4	0
3030	30	4	0
3060	30	4	0
3090	30	4	0
3120	30	4	0
3150	30	4	0
3180	30	4	0
3210	30	4	0
3240	30	4	0
3270	30	4	0
3300	30	4	0
3330	30	4	0
3360	30	4	0
3390	30	4	0
3420	30	4	0
3450	30	4	0
3480	30	4	0
3510	30	4	0
3540	30	4	0
3570	30	4	0
3600	30	4	0
3630	30	4	0
3660	30	4	0
3690	30	4	0
3720	30	4	0
3750	30	4	0
3780	30	4	0
3810	30	5	0
3840	30	5	0
3870	30	5	0
3900	30	5	0
3930	30	5	0
3960	30	5	1
3990	30	4	0
4020	30	4	0
4050	30	4	0
4080	30	4	0
4110	30	4	0
4140	30	4	0
4170	30	4	0
4200	30	4	0
4230	30	4	1
4260	30	3	1
4290	30	4	0
4320	30	4	0
4350	30	4	0
4380	30	4	0
4410	30	4	0
4440	30	4	0
4470	30	4	0
4500	30	4	0
4530	30	5	0
4560	30	5	0
4590	30	5	0
4620	30	5	0
4650	30	5	0
4680	30	5	0
4710	30	5	0
4740	30	5	0
4770	30	5	0
4800	30	5	0
4830	30	5	0
4860	30	5	0
4890	30	5	0
4920	30	5	0
4950	30	5	0
4980	30	5	0
5010	30	5	0
5040	30	5	0
5070	30	5	0
5100	30	5	0
5130	30	5	0
5160	30	5	0
5190	30	5	0
5220	30	5	0
5250	30	5	0
5280	30	5	0
5310	30	5	0
5340	30	5	0
5370	30	5	0
5400	30	5	0
5430	30	5	0
5460	30	5	0
5490	30	5	0
5520	30	5	0
5550	30	5	0
5580	30	5	0
5610	30	5	0
5640	30	5	0
5670	30	5	0
5700	30	5	0
5730	30	5	0
5760	30	5	0
5790	30	5	0
5820	30	5	0
5850	30	5	0
5880	30	5	0
5910	30	5	0
5940	30	5	0
5970	30	5	0
6000	30	5	0
6030	30	5	0
6060	30	5	0
6090	30	5	0
6120	30	5	0
6150	30	5	0
6180	30	5	0
6210	30	5	0
6240	30	5	0
6270	30	5	0
6300	30	5	0
6330	30	5	0
6360	30	5	0
6390	30	5	0
6420	30	5	0
6450	30	5	0
6480	30	5	0
6510	30	5	0
6540	30	5	0
6570	30	5	1
6600	30	5	0
6630	30	5	0
6660	30	4	0
6690	30	4	0
6720	30	4	0
6750	30	4	0
6780	30	4	0
6810	30	4	0
6840	30	4	0
6870	30	4	0
6900	30	4	1
6930	30	4	0
6960	30	4	0
6990	30	4	0
7020	30	4	1
7050	30	4	0
7080	30	4	0
7110	30	2	0
7140	30	2	0
7170	30	2	0
7200	30	2	0
7230	30	2	0
7260	30	2	0
7290	30	2	0
7320	30	2	0
7350	30	2	0
7380	30	2	0
7410	30	2	0
7440	30	1	1
7470	30	3	0
7500	30	4	0
7530	30	2	1
7560	30	2	0
7590	30	2	0
7620	30	2	0
7650	30	2	0
7680	30	2	0
7710	30	2	0
7740	30	2	0
7770	30	2	0
7800	30	2	0
7830	30	2	0
7860	30	2	0
7890	30	2	0
7920	30	2	0
7950	30	4	0
7980	30	4	0
8010	30	4	0
8040	30	4	0
8070	30	4	0
8100	30	4	0
8130	30	4	0
8160	30	4	0
8190	30	4	0
8220	30	4	0
8250	30	4	0
8280	30	4	0
8310	30	4	0
8340	30	1	1
8370	30	3	0
8400	30	4	0
8430	30	4	0
8460	30	4	0
8490	30	4	0
8520	30	4	0
8550	30	4	0
8580	30	4	0
8610	30	4	0
8640	30	4	0
8670	30	4	0
8700	30	4	0
8730	30	4	0
8760	30	4	0
8790	30	4	0
8820	30	4	0
8850	30	4	0
8880	30	4	0
8910	30	4	0
8940	30	4	0
8970	30	4	0
9000	30	5	0
9030	30	5	0
9060	30	4	0
9090	30	4	0
9120	30	4	0
9150	30	4	0
9180	30	4	0
9210	30	4	0
9240	30	5	0
9270	30	4	1
9300	30	4	0
9330	30	4	0
9360	30	4	1
9390	30	4	0
9420	30	4	0
9450	30	4	0
9480	30	4	0
9510	30	4	0
9540	30	4	0
9570	30	4	0
9600	30	4	0
9630	30	4	0
9660	30	4	0
9690	30	4	0
9720	30	4	0
9750	30	4	0
9780	30	5	0
9810	30	5	0
9840	30	5	0
9870	30	5	0
9900	30	5	0
9930	30	5	0
9960	30	5	0
9990	30	5	0
10020	30	5	0
10050	30	5	0
10080	30	5	0
10110	30	5	0
10140	30	5	0
10170	30	5	0
10200	30	5	0
10230	30	5	0
10260	30	5	0
10290	30	5	0
10320	30	5	0
10350	30	5	0
10380	30	5	0
10410	30	5	0
10440	30	5	0
10470	30	5	0
10500	30	5	0
10530	30	5	0
10560	30	5	0
10590	30	5	0
10620	30	5	0
10650	30	5	0
10680	30	5	0
10710	30	5	0
10740	30	5	0
10770	30	5	0
10800	30	5	0
10830	30	5	0
10860	30	5	0
10890	30	5	0
10920	30	5	0
10950	30	5	0
10980	30	5	0
11010	30	5	0
11040	30	5	0
11070	30	5	0
11100	30	5	0
11130	30	5	0
11160	30	5	0
11190	30	5	0
11220	30	5	0
11250	30	5	0
11280	30	5	0
11310	30	5	0
11340	30	5	0
11370	30	5	0
11400	30	5	0
11430	30	5	0
11460	30	5	0
11490	30	5	0
11520	30	5	0
11550	30	5	0
11580	30	5	0
11610	30	5	0
11640	30	5	0
11670	30	5	1
11700	30	5	0
11730	30	4	0
11760	30	4	0
11790	30	4	0
11820	30	4	0
11850	30	4	0
11880	30	4	0
11910	30	4	0
11940	30	4	0
11970	30	4	0
12000	30	4	0
12030	30	4	0
12060	30	4	0
12090	30	4	0
12120	30	4	0
12150	30	4	0
12180	30	4	0
12210	30	4	0
12240	30	4	0
12270	30	4	0
12300	30	4	0
12330	30	4	0
12360	30	4	0
12390	30	4	0
12420	30	4	0
12450	30	4	0
12480	30	4	0
12510	30	1	1
12540	30	3	0
12570	30	4	0
12600	30	4	0
12630	30	4	0
12660	30	4	0
12690	30	4	0
12720	30	4	0
12750	30	4	0
12780	30	2	0
12810	30	2	0
12840	30	2	0
