sessionNumber	sessionsStartTime
1	737288.916759259
2	737306.924965278
3	737320.939988426
4	737327.911493056
5	737736.963194444
6	737737.979861111
7	737740.966666667
8	737741.914583333
9	737743.943055556
10	737745.004861111
11	737747.960416667
12	737748.953472222
13	737749.961111111
14	737750.9375
15	737753.006944444
16	737754.970833333
