sessionNumber	sessionsStartTime
1	737427.957222222
2	737429.962233796
3	737455.928171296
4	737468.933217593
5	737761.003472222
6	737761.975694444
7	737763.971527778
8	737770.988888889
9	737771.977083333
10	737778.003472222
11	737797.953472222
12	737798.959722222
13	737799.980555556
14	737802.004861111
15	737802.963194444
16	737803.964583333
