sessionNumber	sessionsStartTime
1	737505.01400463
2	737525.954652778
3	737546.9571875
4	737551.925138889
5	738008.982638889
6	738009.974305556
7	738013.941666667
8	738015.930555556
9	738019.019444444
10	738031.074305556
11	738034.944444444
12	738039.981944444
13	738040.96875
14	738043.911805556
15	738050.943055556
16	738051.941666667
