sessionNumber	sessionsStartTime
1	737224.9628125
2	737226.975324074
3	737239.023530093
4	737274.995706019
5	737812.046527778
6	737813.005555556
7	737813.983333333
8	737817.052083333
9	737818.063888889
10	737819.075694444
11	737820.979166667
12	737824.044444444
13	737825.042361111
14	737826.015277778
15	737827.078472222
16	737828.028472222
