sessionNumber	sessionsStartTime
1	737530.963009259
2	737546.970983796
3	737551.974872685
4	737561.986412037
5	737819.938194444
6	737820.938888889
7	737824.944444444
8	737827.013888889
9	737841.965972222
10	737845.945833333
11	737847.936805555
12	737853.972916667
13	737855.910416667
14	737860.940972222
15	737861.993055556
16	737867.940277778
